SN,Institution,Region
298," JSPM Narhe Technical Campus, Pune.",Pune
299," Fabtech Technical Campus College of Engineering and Research, Sangola",Pune
300," Yashoda Technical Campus, Wadhe, Satara.",Pune
301," Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Pune
302," Shree Ramchandra College of Engineering, Lonikand,Pune",Pune
303," Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Pune
304, Phaltan Education Society's College of Engineering Thakurki Tal,Pune
305," Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",Pune
306," P.K. Technical Campus, Pune.",Pune
307," Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Pune
308," SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Pune
309," NBN Sinhgad Technical Institutes Campus, Pune",Pune
310," D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Pune
311," Bhagwant Institute of Technology, Barshi",Pune
312," Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Pune
313," Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Pune
314," Anantrao Pawar College of Engineering & Research, Pune",Pune
315," Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Pune
316," Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Pune
317," Dnyanshree Institute Engineering and Technology, Satara",Pune
318," Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Pune
319," Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Pune
320," Keystone School of Engineering, Pune",Pune
321," Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Pune
322," Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Pune
323," Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Pune
324," Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Pune
325," Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Pune
326," MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Pune
327, Shree Siddheshwar Women's College Of Engineering Solapur.,
