,ID,CollegeName,CourseName,Caste
138,315," D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Computer Science and Engineering,GOPENS
139,316," D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Computer Science and Engineering,GSCS
140,317," Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Civil Engineering,GOPENS
141,318," Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Civil Engineering,GSCS
142,325," Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Civil Engineering,GOPENS
143,326," Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Civil Engineering,GSCS
144,329," Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Civil Engineering,GOPENS
145,330," Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Civil Engineering,GSCS
146,333," Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Civil Engineering,GOPENS
147,334," Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Civil Engineering,GSCS
148,337," Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Civil Engineering,GOPENS
149,338," Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Civil Engineering,GSCS
150,341," Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Civil Engineering,GOPENS
151,342," Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Civil Engineering,GSCS
152,343," Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Computer Science and Engineering,GOPENS
153,344," Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Computer Science and Engineering,GSCS
154,345," MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Civil Engineering,GOPENS
155,346," MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Civil Engineering,GSCS
156,347," MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Computer Science and Engineering,GOPENS
157,348," MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Computer Science and Engineering,GSCS
