COLLEGE,REGION
" Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala",Pune
" Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Pune
" K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Pune
" D. Y. Patil College of Engineering, Ambi, Talegaon, Maval",Pune
" Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Pune
" D. Y. Patil Institute of Engineering and Technology, Ambi",Pune
 Navsahyadri Education Society's Group of Institutions,Pune
" KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Pune
" N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Pune
" S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Pune
" Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Pune
" TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Pune
" Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune",Pune
" International Institute of Information Technology (I²IT), Pune.",Pune
" JSPM Narhe Technical Campus, Pune.",Pune
" Suman Ramesh Tulsiani Technical Campus,  Faculty of Engineering, Kamshet,Pune.",Pune
" SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Pune
" Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Pune
" NBN Sinhgad Technical Institutes Campus, Pune",Pune
" D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Pune
" Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon, Pune",Pune
" Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi",Pune
" Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Pune
" Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",Pune
" Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Pune
" Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Pune
" Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Pune
" MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Pune
